MeasDate,PM10,O3,NO2,CO,SO2,TEMP,RAIN,WIND,WIND_DIR,HUMIDITY,ATM_PRESS,SNOW,CLOUD
2019-07-30,22,0.01,0.019,,0.002,28.04,0.17,3.45,203,75.3,997.2,0,8.33
2019-07-31,20,0.016,0.025,,0.002,25.87,3.11,2.3,195,91.3,998.9,0,9.58
2019-08-01,15,0.014,0.02,,0.002,26.41,2.25,1.7,237,85.8,1001.8,0,7.42
2019-08-02,19,0.02,0.02,,0.002,28.38,0,1.26,185,74.8,1001.9,0,4.04
2019-08-03,21,0.033,0.029,,0.002,29.4,1,1.36,152,70.6,1001.1,0,4.29
2019-08-04,29,0.042,0.03,,0.003,28.46,2.87,1.21,165,73.4,1001,0,5.5
2019-08-05,40,0.034,0.025,,0.003,30.31,0,1.14,164,67.3,999.8,0,2.58
2019-08-06,26,0.027,0.024,,0.003,31.72,0,1.55,67,52,997.2,0,6.54
2019-08-07,20,0.012,0.026,,0.003,26.98,0.67,1.18,225,76.1,995.4,0,8.21
2019-08-08,44,0.034,0.021,,0.003,28.82,0,1.57,230,72,998.2,0,6.63
2019-08-09,27,0.019,0.024,,0.003,29.81,0,1.31,195,68.5,997.7,0,5.54
2019-08-10,21,0.027,0.024,,0.003,31.4,0,1.55,95,59.4,996.1,0,5.46
2019-08-11,16,0.022,0.016,,0.003,30.7,0.68,2.48,97,51.3,992.6,0,6.54
2019-08-12,21,0.008,0.027,,0.003,26.53,2.7,1.28,90,91,990.6,0,9.83
2019-08-13,27,0.029,0.027,,0.003,29.18,6.4,1.38,205,76.3,992.6,0,7.21
2019-08-14,18,0.014,0.027,,0.003,30.28,0,1.53,109,66.2,990.7,0,4.13
2019-08-15,8,0.01,0.015,,0.002,26.31,1.62,1.33,99,79.2,984.2,0,9.08
2019-08-16,18,0.028,0.019,,0.003,25.81,0.03,2.21,228,76.8,984.9,0,6.33
2019-08-17,29,0.061,0.016,,0.003,26.03,0,2.64,253,70,991.1,0,5.33
2019-08-18,20,0.053,0.015,,0.003,25.63,0,1.64,245,65.1,996.5,0,4.5
2019-08-19,23,0.043,0.026,,0.003,26.15,0,1.05,124,62,999.6,0,4.79
2019-08-20,28,0.04,0.03,,0.003,27.95,0,1.34,115,56.6,1000,0,2.96
2019-08-21,33,0.036,0.028,,0.003,27.17,0.22,1.29,177,64.7,998.7,0,7.88
2019-08-22,38,0.039,0.023,,0.003,26.76,0,1.65,174,67.5,996.6,0,5.38
2019-08-23,29,0.044,0.017,,0.003,26.35,0,2.13,278,58.6,998.2,0,5.08
2019-08-24,22,0.03,0.023,,0.003,23.96,0,1.42,207,60.4,1000.5,0,6.21
2019-08-25,18,0.035,0.02,,0.003,24.7,0,1.63,165,67.3,1002.6,0,3.58
2019-08-26,26,0.04,0.029,,0.003,26.28,0,1.29,149,63.9,1002.2,0,5.71
2019-08-27,26,0.042,0.027,,0.003,25.73,2.86,0.94,210,70.8,998,0,8.08
2019-08-28,26,0.045,0.02,,0.003,26,0,2.03,218,66.6,996.6,0,5.5
2019-08-29,27,0.032,0.033,,0.003,23.59,6.15,2.14,127,77.6,995.9,0,5.92
2019-08-30,19,0.03,0.02,,0.003,22.62,0.05,2.38,215,65.3,998.4,0,4.67
2019-08-31,18,0.034,0.019,,0.003,23.4,0,1.91,240,64.5,1003,0,2.42
2019-09-01,18,0.029,0.024,,0.003,23.63,0,1.4,255,64.4,1006.7,0,5.5
2019-09-02,25,0.031,0.03,,0.003,24.35,0,1.51,268,57,1006.6,0,7.46
2019-09-03,20,0.017,0.033,,0.003,24.17,0,2.27,255,66.7,1005.4,0,9.17
2019-09-04,8,0.015,0.027,,0.002,22.79,1.51,2.51,351,88,1003.2,0,9.17
2019-09-05,10,0.006,0.027,,0.003,23.1,3.03,2.01,288,91.7,1002,0,9.25
2019-09-06,15,0.009,0.027,,0.003,25.04,0.34,2.1,344,80.4,999.6,0,9.79
2019-09-07,12,0.015,0.013,,0.003,25.67,0.13,5.88,200,73.8,987.8,0,9.96
2019-09-08,34,0.035,0.016,,0.003,24.67,0.05,2.08,193,77.1,997.9,0,9.25
2019-09-09,35,0.012,0.038,,0.003,24.92,0,1.91,262,74.8,1000.5,0,9.25
2019-09-10,14,0.016,0.033,,0.002,23.88,2.98,2.39,271,91.7,1001.7,0,9.88
2019-09-11,7,0.032,0.02,,0.002,24.38,1.03,3.07,330,73.6,1004.2,0,8.29
2019-09-12,15,0.018,0.019,,0.002,21.28,0.35,2.74,243,69,1006.7,0,9.79
2019-09-13,20,0.026,0.021,,0.002,22.98,0.05,1.64,239,62.4,1003.9,0,4.54
2019-09-14,19,0.013,0.03,,0.003,22.45,0.06,1.24,205,77.8,1001.6,0,8.63
2019-09-15,14,0.029,0.014,,0.002,24.09,0,1.69,299,72,1000.8,0,5.08
2019-09-16,14,0.024,0.022,,0.003,24.58,0,2.14,333,55,1000.9,0,4.29
2019-09-17,17,0.034,0.029,,0.003,23.41,0,2.1,280,40,1004.6,0,5.75
2019-09-18,26,0.033,0.018,0.3,0.003,21.5,0,3.06,231,45.7,1006.3,0,1.92
2019-09-19,24,0.027,0.022,0.4,0.003,19.39,0,1.74,222,45.6,1008.4,0,3.13
2019-09-20,22,0.014,0.029,0.4,0.003,19.38,0,1.98,303,51.6,1007.4,0,8.71
2019-09-21,14,0.014,0.029,0.4,0.003,19.72,0,1.98,254,59.7,1009.1,0,9.92
2019-09-22,8,0.034,0.014,0.3,0.002,18.64,0.05,3.55,340,63,1003.9,0,9.67
2019-09-23,12,0.032,0.017,0.3,0.002,20.11,0,2.3,274,50.1,1003.8,0,4.38
2019-09-24,20,0.024,0.029,0.4,0.004,19.71,0,1.83,269,60.6,1008.4,0,0.08
2019-09-25,27,0.019,0.043,0.6,0.004,20.77,0,1.4,265,64.2,1011.4,0,5.42
2019-09-26,27,0.013,0.042,0.6,0.003,22.73,0,1.71,259,59.6,1013.5,0,8.13
2019-09-27,22,0.013,0.038,0.5,0.003,22.92,0,1.85,302,57.5,1012.4,0,8.83
2019-09-28,27,0.02,0.032,0.5,0.003,23.74,0,1.73,257,58.8,1008.3,0,5.04
2019-09-29,35,0.035,0.026,0.5,0.003,22.66,0,1.69,234,60.6,1006.7,0,0.25
2019-09-30,49,0.034,0.042,0.6,0.003,22.41,0,1.51,281,62.5,1006.7,0,0.04
2019-10-01,43,0.021,0.045,0.6,0.003,22.95,0,1.9,226,66,1008,0,6.08
2019-10-02,22,0.007,0.027,0.5,0.003,21.78,1.52,2.99,329,87,1002.8,0,9.71
2019-10-03,8,0.017,0.017,0.3,0.003,22.38,0.64,2.82,287,74.5,995.7,0,6.67
2019-10-04,27,0.022,0.028,0.5,0.004,22.38,0,2.12,238,70.3,1002.2,0,3.5
2019-10-05,35,0.024,0.017,0.5,0.003,19.24,0.12,2.88,235,73.3,1005.5,0,7.96
2019-10-06,11,0.026,0.017,0.3,0.002,17.75,0,2.94,217,54,1012.3,0,5.54
2019-10-07,10,0.011,0.025,0.4,0.002,15.11,1.41,1.85,247,89.8,1008.3,0,9.17
2019-10-08,20,0.023,0.021,0.4,0.003,15.01,0,2.5,220,62.5,1007.8,0,3.17
2019-10-09,20,0.016,0.03,0.5,0.003,13.6,0,1.64,258,48,1009.7,0,2.13
2019-10-10,26,0.011,0.04,0.5,0.003,14.78,0,1.27,280,60.3,1006.5,0,8.58
2019-10-11,31,0.022,0.031,0.5,0.003,18.73,0,1.96,285,60.3,1005.2,0,2.17
2019-10-12,21,0.031,0.017,0.3,0.002,18.12,0,3.5,327,48.8,1007.7,0,0.83
2019-10-13,18,0.022,0.025,0.4,0.002,17.05,0,1.93,261,52.5,1012,0,1.63
2019-10-14,29,0.019,0.025,0.5,0.003,14.8,0,2.38,221,58.5,1014.5,0,2.33
2019-10-15,16,0.018,0.028,0.4,0.003,14.29,0,1.7,221,53.4,1017.6,0,3.33
2019-10-16,23,0.021,0.031,0.5,0.003,14.43,0,1.69,281,58.8,1016.1,0,4.29
2019-10-17,27,0.014,0.04,0.5,0.003,15.51,0,1.7,249,55.5,1014.1,0,5.92
2019-10-18,18,0.015,0.034,0.4,0.003,16.86,0,2.49,290,58.3,1012.2,0,7.04
2019-10-19,20,0.027,0.025,0.4,0.003,17.15,0,1.7,281,62.6,1010.3,0,1.46
2019-10-20,34,0.021,0.033,0.5,0.003,16.68,0,1.24,223,71,1011.4,0,0.88
2019-10-21,38,0.018,0.047,0.7,0.003,16.98,0,1.12,275,61.3,1008.7,0,2.13
2019-10-22,35,0.021,0.042,0.6,0.003,18.03,0,1.7,130,57.4,1007.5,0,4.54
2019-10-23,21,0.019,0.034,0.5,0.003,16.98,0,2.33,66,58.4,1008.7,0,8
2019-10-24,25,0.03,0.028,0.5,0.003,18.35,0,2.63,70,48.3,1009.2,0,5.75
2019-10-25,22,0.03,0.021,0.4,0.003,16.97,0,2.26,183,55.6,1007.4,0,5.71
2019-10-26,21,0.021,0.018,0.4,0.002,10.41,0,2.71,295,60.6,1008.4,0,4.04
2019-10-27,22,0.02,0.028,0.5,0.003,10.64,0,1.7,241,58.3,1009.1,0,0.96
2019-10-28,29,0.016,0.04,0.6,0.004,12.69,0.43,2.68,136,65.1,1005.7,0,5.33
2019-10-29,83,0.021,0.023,0.4,0.003,13.05,0.25,2.4,286,62.1,1004.9,0,2.21
2019-10-30,24,0.013,0.037,0.5,0.003,11.02,0,1.65,196,60.2,1010.9,0,0.67
2019-10-31,72,0.022,0.041,0.6,0.004,14.23,0,2.21,138,72.8,1010.3,0,4.38
2019-11-01,89,0.027,0.037,0.6,0.003,15.3,0,1.8,256,60,1011.1,0,2.42
2019-11-02,67,0.01,0.059,0.8,0.005,13.35,0,1.42,160,57.2,1010.2,0,7.04
2019-11-03,47,0.022,0.03,0.5,0.004,14.74,0,2.2,135,57.6,1009.3,0,4.79
2019-11-04,13,0.016,0.031,0.4,0.003,13.87,0,2.15,156,57.4,1011.6,0,0.04
2019-11-05,30,0.015,0.043,0.6,0.003,12.4,0,1.53,177,66.4,1009.2,0,1.38
2019-11-06,45,0.013,0.047,0.7,0.004,10.95,0,1.86,192,64.4,1006.7,0,4.71
2019-11-07,44,0.026,0.026,0.5,0.004,9.58,0,2.57,305,46.5,1007.1,0,2.13
2019-11-08,36,0.016,0.035,0.5,0.003,6.75,0,1.9,273,30.1,1011,0,0
2019-11-09,35,0.012,0.045,0.7,0.004,9.36,0,1.62,220,39.7,1011.2,0,0.17
2019-11-10,36,0.011,0.044,0.7,0.004,9.79,11.8,2.1,97,58.7,1002.4,0,7.83
2019-11-11,21,0.027,0.022,0.5,0.003,11.36,0.28,2.48,275,73.5,999.7,0,6.17
2019-11-12,37,0.005,0.051,0.8,0.004,9.33,0,1.29,159,64.6,1010.2,0,3.33
2019-11-13,31,0.009,0.037,0.7,0.004,7.75,2.5,2.78,150,74.5,1007.2,0,7.17
2019-11-14,18,0.021,0.021,0.4,0.003,1.52,0,3.09,252,30.4,1013.6,0,0.54
2019-11-15,23,0.003,0.046,0.7,0.003,5.3,2.69,2.06,76,82.5,1008,0,9.08
2019-11-16,33,0.004,0.045,0.8,0.003,6.86,0,1.58,50,82,1009.8,0,5.46
2019-11-17,27,0.006,0.042,0.6,0.003,7.81,4.5,3.05,78,78.3,1007.9,0,9.42
2019-11-18,62,0.023,0.016,0.4,0.002,5.53,5.93,3.65,280,62.8,1007.6,0,7.08
2019-11-19,26,0.023,0.016,0.3,0.003,0.45,0,2.72,307,48.5,1014.7,0,1.38
2019-11-20,20,0.014,0.03,0.5,0.003,0.47,0,1.65,232,36.4,1020.7,0,0.04
2019-11-21,33,0.004,0.046,0.8,0.004,3.63,0,1.85,67,38.2,1021.7,0,5.63
2019-11-22,42,0.005,0.048,0.9,0.004,9.53,0,2.26,76,33.1,1017.2,0,1.83
2019-11-23,31,0.005,0.048,0.8,0.004,11.92,0,1.73,110,50.4,1013.8,0,7.13
2019-11-24,27,0.009,0.035,0.7,0.004,10.38,1.27,2.1,166,73.5,1009.7,0,6.96
2019-11-25,24,0.013,0.021,0.5,0.003,2.15,0,2.61,280,61.6,1018.8,0,6
2019-11-26,22,0.005,0.037,0.6,0.003,6.39,0,1.9,163,64.5,1018.8,0,3.25
2019-11-27,34,0.016,0.024,0.6,0.004,3.47,0,2.8,310,52.5,1017.7,0,4.92
2019-11-28,36,0.008,0.035,0.6,0.004,3.51,0,1.92,288,52.1,1019,0,2.17
2019-11-29,39,0.011,0.034,0.6,0.004,1.5,0,2.13,250,44.7,1020.8,0,1.21
2019-11-30,42,0.004,0.049,0.7,0.005,3.79,0,1.74,168,41.4,1018.4,0,5.46
2019-12-01,36,0.009,0.039,0.7,0.003,4.9,0.47,1.55,153,76.7,1012,0,9.88
2019-12-02,20,0.024,0.017,0.4,0.003,0.33,0,3.21,303,50.5,1011.4,0,2.54
2019-12-03,26,0.007,0.039,0.6,0.004,-0.03,0,1.47,182,58.1,1014.4,0,5.58
2019-12-04,25,0.013,0.034,0.5,0.004,2.35,0.3,1.92,283,46.5,1017.9,0,1.75
2019-12-05,20,0.024,0.014,0.4,0.003,-3.7,0,3.2,296,33.5,1024.8,0,0
2019-12-06,28,0.012,0.028,0.5,0.003,-6.2,0,1.76,264,33.3,1025.5,0,0
2019-12-07,46,0.002,0.052,0.9,0.004,-2.5,0.03,1.69,66,62.1,1019.2,0,5.71
2019-12-08,49,0.006,0.045,0.8,0.003,-1.03,0,1.5,128,65.3,1018.2,0,0.5
2019-12-09,61,0.003,0.05,0.9,0.004,2.53,0,2.45,71,56.6,1012.9,0,8.04
2019-12-10,101,0.01,0.055,1,0.004,8.12,0.85,1.22,148,80.6,1008.7,0,8.83
2019-12-11,73,0.021,0.032,0.7,0.004,6.95,0.1,3.26,230,64.5,1006.6,0,5.58
2019-12-12,19,0.016,0.018,0.4,0.003,-0.52,0,1.92,280,45,1017.5,0,0
2019-12-13,25,0.004,0.041,0.7,0.004,1.51,0,1.83,113,50.9,1016.4,0,5.63
2019-12-14,34,0.014,0.023,0.5,0.003,2.97,0.5,2.4,236,60,1016.6,0,4.13
2019-12-15,33,0.006,0.037,0.7,0.003,4.97,0,1.99,67,52.2,1018.5,0,3.5
2019-12-16,35,0.003,0.046,0.9,0.004,7.34,0,1.85,63,59,1012.8,0,4.25
2019-12-17,30,0.009,0.033,0.7,0.003,8.28,3.27,2.31,198,80.8,1005.2,0,9.54
2019-12-18,38,0.013,0.023,0.5,0.003,1.24,0,2.5,289,65.9,1012.8,0,3.63
2019-12-19,27,0.014,0.025,0.5,0.003,-0.99,0,2.42,279,49,1015.2,0,2.71
2019-12-20,28,0.018,0.022,0.5,0.003,-0.86,0,2.3,314,44.1,1018.4,0,1.79
2019-12-21,37,0.002,0.045,0.8,0.003,-1.52,0.3,1.67,91,64.1,1017,0,5.25
2019-12-22,60,0.008,0.037,0.7,0.003,3.63,0,1.72,80,63.5,1010.6,0,7.54
2019-12-23,51,0.015,0.028,0.7,0.003,3.84,0.8,2.18,267,79.3,1010.8,0,7.04
2019-12-24,72,0.006,0.045,1,0.003,0.87,0,1.26,105,68.4,1016.5,0,0.42
2019-12-25,51,0.005,0.045,0.9,0.003,1.54,0,1.19,130,62,1013.5,0,5.13
2019-12-26,46,0.014,0.03,0.6,0.003,2.48,0.1,2.38,221,58.1,1007.3,0,7.21
2019-12-27,33,0.02,0.023,0.5,0.003,-1.75,0,2.23,296,46.9,1013.5,0,0
2019-12-28,44,0.004,0.044,0.7,0.004,0.89,0,1.99,79,47.6,1017.5,0,2.7
2019-12-29,45,0.008,0.035,0.6,0.004,3.5,0.2,2.88,69,49.6,1015.5,0,8.42
2019-12-30,35,0.012,0.03,0.6,0.003,3.52,0.28,2.74,193,71.5,1012.5,0,8
2019-12-31,26,0.022,0.014,0.4,0.002,-7.84,0,3.42,268,41.7,1023.3,0,0.92
2020-01-01,35,0.003,0.037,0.7,0.003,-2.71,0.02,1.1,50,61.7,1021.3,0,8.88
2020-01-02,59,0.003,0.041,0.8,0.004,0.99,0,1.91,145,64.9,1018.8,0,7.33
2020-01-03,65,0.01,0.036,0.8,0.004,0.12,0,1.88,298,57.8,1016.6,0,0.61
2020-01-04,53,0.014,0.04,0.9,0.004,1.05,0,1.9,203,50.9,1015.2,0,1.88
2020-01-05,52,0.006,0.047,0.9,0.004,1.18,0,1.05,156,45.7,1019.5,0,3.63
2020-01-06,38,0.005,0.04,0.7,0.004,2.73,0.3,3.1,74,61.7,1016,0,9.71
2020-01-07,9,0.008,0.031,0.5,0.003,6.06,4.98,4.18,73,95,1001.2,0,10
2020-01-08,25,0.017,0.021,0.6,0.003,3.14,3.74,3.35,263,88.3,1001.5,0,9.67
2020-01-09,50,0.022,0.02,0.6,0.003,-0.9,0,2.25,299,64.7,1013.2,0,2.5
2020-01-10,65,0.008,0.038,0.8,0.004,-0.82,0,1.57,203,64,1013.3,0,2.96
2020-01-11,50,0.016,0.032,0.8,0.004,-0.03,0,1.83,233,61.5,1009.7,0,3.38
2020-01-12,46,0.025,0.018,0.6,0.004,-0.95,0,2.45,295,61.1,1007.4,0,3.5
2020-01-13,25,0.02,0.019,0.4,0.003,-2.65,0,2.36,308,52.8,1012,0,1.08
2020-01-14,30,0.013,0.031,0.6,0.003,-2.37,0,1.58,234,44.4,1014.9,0,1.21
2020-01-15,36,0.015,0.027,0.6,0.004,-2.71,0,1.89,266,44.6,1017.6,0,0
2020-01-16,40,0.011,0.033,0.7,0.004,-1.78,0,1.73,277,42.2,1016.5,0,4.96
2020-01-17,56,0.006,0.046,0.8,0.004,-0.64,0,1.51,200,44,1012.8,0,5.29
2020-01-18,60,0.01,0.042,0.8,0.005,0.27,0,1.72,237,47.1,1010.9,0,1.79
2020-01-19,62,0.015,0.036,0.8,0.004,1.82,0.3,2.1,205,63.5,1008.1,0.3,5.33
2020-01-20,52,0.022,0.024,0.6,0.004,0.98,0,2.65,254,49.5,1011.5,0,2.21
2020-01-21,42,0.009,0.039,0.7,0.004,-0.64,0,1.43,191,37.3,1018.9,0,1.96
2020-01-22,42,0.003,0.048,0.8,0.004,2.76,0,1.77,57,35.9,1015.1,0,7.88
2020-01-23,59,0.016,0.039,0.8,0.004,4.58,0,1.98,258,47.6,1013.2,0,3.92
2020-01-24,71,0.018,0.029,0.8,0.004,2.98,0,1.81,241,62.7,1019.2,0,3.88
2020-01-25,46,0.009,0.034,0.7,0.003,4.34,0,1.55,172,61.3,1018.8,0,7.38
2020-01-26,24,0.017,0.025,0.5,0.003,5.29,0,2.6,106,57.6,1016.7,0,6.04
2020-01-27,10,0.031,0.01,0.3,0.002,6.01,0,4.83,92,47.4,1010.9,0,9.5
2020-01-28,12,0.021,0.02,0.4,0.003,6.86,0.03,2.67,98,50.5,1007.7,0,8.67
2020-01-29,15,0.017,0.024,0.4,0.003,6.05,0,2.08,95,46.2,1005.6,0,6.29
2020-01-30,15,0.019,0.023,0.4,0.003,5.34,0,1.77,156,46.2,1004.2,0,4.88
2020-01-31,26,0.017,0.029,0.5,0.003,4.12,0,2.39,158,58.1,1008.5,0,4.63
2020-02-01,66,0.019,0.034,0.8,0.003,2.62,0,1.67,216,65.9,1013.1,0,3.08
2020-02-02,68,0.02,0.029,0.8,0.004,1.48,0,1.79,278,54.1,1014.7,0,5.88
2020-02-03,23,0.028,0.014,0.4,0.003,0,0,2.98,289,45.1,1015.9,0,2.38
2020-02-04,23,0.019,0.024,0.5,0.003,-1.42,0.57,2.86,226,52.3,1015.8,0.6,4.08
2020-02-05,22,0.023,0.01,0.3,0.003,-7.95,0,3.34,323,38.4,1020.4,0.5,0
2020-02-06,38,0.01,0.028,0.5,0.003,-6.49,0,1.89,223,35,1023.1,0,0.88
2020-02-07,34,0.014,0.028,0.5,0.003,-2.26,0,1.91,295,42.2,1018.9,0,6.63
2020-02-08,39,0.029,0.013,0.5,0.003,0.14,0,3.01,301,50.2,1016.6,0,3.17
2020-02-09,34,0.02,0.025,0.5,0.003,-0.65,0,1.98,266,49.8,1015.1,0,1.08
2020-02-10,43,0.015,0.038,0.6,0.003,3.83,0,1.8,224,51.3,1012.9,0,1.79
2020-02-11,53,0.007,0.052,0.8,0.004,6.32,0,1.67,125,38.9,1016.5,0,2.13
2020-02-12,49,0.006,0.048,0.8,0.004,7.33,1.12,2.2,97,68.9,1007.2,0,9.88
2020-02-13,75,0.015,0.032,0.7,0.003,6.71,0,1.68,236,85.4,1008.2,0,8.79
2020-02-14,81,0.011,0.043,0.9,0.003,7.99,0,1.2,210,70.8,1010.2,0,3.42
2020-02-15,63,0.018,0.035,0.7,0.003,9.81,0.3,2.93,142,61.7,1008,0,5.38
2020-02-16,25,0.025,0.012,0.5,0.002,-0.57,1.89,3.94,270,82.7,1002.4,2.1,9.21
2020-02-17,38,0.027,0.011,0.4,0.002,-5.64,0.17,3.43,303,66.5,1006.7,3.2,7.58
2020-02-18,22,0.021,0.02,0.4,0.003,-4.28,0,2.33,284,44.3,1016,1.7,0
2020-02-19,32,0.008,0.042,0.6,0.003,0.6,0,1.52,158,55.5,1019.2,0,6
2020-02-20,59,0.008,0.047,0.8,0.003,4.38,0,1.77,149,62.5,1022.3,0,2.75
2020-02-21,65,0.011,0.044,0.7,0.004,6.38,0.6,2.18,160,64.7,1019.5,0,8.42
2020-02-22,68,0.031,0.015,0.6,0.003,4.5,1.68,3.97,268,65.8,1013.5,0,6.58
2020-02-23,21,0.028,0.018,0.4,0.003,2.36,0,1.98,248,47.7,1018.4,0,0.04
2020-02-24,33,0.015,0.039,0.6,0.004,6.45,0,1.55,142,52.5,1014.1,0,6.04
2020-02-25,21,0.019,0.029,0.5,0.003,6.88,3.32,4.25,73,73.6,1007.5,0,7.65
2020-02-26,16,0.023,0.021,0.4,0.003,6.45,0,2.18,164,58.3,1012.2,0,5.04
2020-02-27,11,0.021,0.022,0.4,0.002,6.22,0,1.98,134,54,1017,0,2.38
2020-02-28,24,0.006,0.039,0.6,0.003,4.5,0.88,1.31,95,75.2,1012.4,0,9.42
2020-02-29,20,0.019,0.026,0.5,0.002,7.58,0.23,1.87,213,70.7,1007.8,0,4.25
2020-03-01,43,0.014,0.03,0.6,0.003,5.9,0,1.9,176,71.7,1007.7,0,7.29
2020-03-02,36,0.029,0.018,0.5,0.003,3.52,0.1,2.81,289,55.7,1012.6,0,2.13
2020-03-03,43,0.019,0.032,0.6,0.003,4.65,0,2.56,156,56.8,1013.5,0,5.88
2020-03-04,44,0.035,0.015,0.5,0.003,2.57,0,3.65,276,55.3,1011.3,0,6.13
2020-03-05,34,0.028,0.019,0.5,0.003,1.1,0,2.48,283,47.8,1014.4,0,0
2020-03-06,38,0.01,0.045,0.6,0.003,3.43,0,1.72,197,48.4,1012.1,0,1.83
2020-03-07,52,0.014,0.043,0.6,0.003,6.68,0,1.98,143,38.2,1007.6,0,5.96
2020-03-08,53,0.025,0.035,0.6,0.003,9.13,0,1.57,185,44.5,1008.2,0,0.33
2020-03-09,53,0.022,0.042,0.6,0.003,10.75,0,1.88,185,38.9,1004.2,0,6.63
2020-03-10,38,0.023,0.021,0.6,0.003,7.05,1.69,2.78,293,78.2,997.5,0,8.29
2020-03-11,29,0.027,0.016,0.3,0.003,3.72,0,3.5,275,41.6,1006.8,0,0
2020-03-12,31,0.02,0.029,0.5,0.003,6.32,0,2.62,170,49.3,1011,0,3.71
2020-03-13,28,0.029,0.013,0.4,0.003,5.48,0.25,3.44,303,42.7,1011.2,0,7.13
2020-03-14,37,0.029,0.016,0.4,0.003,3.15,0,3,263,46.5,1005.8,0,1.46
2020-03-15,36,0.03,0.012,0.4,0.003,4.26,0,3.77,288,48.8,1000.8,0,3.42
2020-03-16,21,0.023,0.019,0.4,0.003,3.23,0,2.78,241,41.5,1011.1,0,0
2020-03-17,46,0.017,0.034,0.5,0.003,6.48,0,1.98,178,65.1,1005.4,0,5
2020-03-18,57,0.018,0.043,0.7,0.004,9.6,0,1.84,190,49.5,1003.2,0,0
2020-03-19,51,0.037,0.016,0.4,0.003,9.48,0,4.56,232,47.1,995.3,0,3.33
2020-03-20,33,0.023,0.022,0.4,0.003,8.51,0,3.29,218,40.8,1003.3,0,0.67
2020-03-21,49,0.033,0.022,0.5,0.004,12.44,0,1.96,206,54,1001.4,0,6.75
2020-03-22,37,0.036,0.01,0.3,0.003,11.29,0,3.35,286,43,1003.6,0,0.92
2020-03-23,45,0.028,0.029,0.5,0.004,10.55,0,1.64,198,36.1,1006.8,0,0.04
2020-03-24,52,0.024,0.033,0.5,0.003,11.31,0,1.86,190,37.1,1009.6,0,0.13
2020-03-25,44,0.022,0.041,0.6,0.004,12.23,0,1.88,161,32.8,1009.9,0,3.58
